,COUNTRY,GDP (BILLIONS),CODE,YEAR
0,Afghanistan,21.71,AFG,2000
1,Albania,13.4,ALB,2000
2,Algeria,227.8,DZA,2000
3,American Samoa,0.75,ASM,2000
4,Andorra,4.8,AND,2000
5,Angola,131.4,AGO,2000
6,Anguilla,0.18,AIA,2000
7,Antigua and Barbuda,1.24,ATG,2000
8,Argentina,536.2,ARG,2000
9,Armenia,10.88,ARM,2001
10,Aruba,2.52,ABW,2001
11,Australia,1483,AUS,2001
12,Austria,436.1,AUT,2001
13,Azerbaijan,77.91,AZE,2001
14,"Bahamas, The",8.65,BHM,2001
15,Bahrain,34.05,BHR,2001
16,Bangladesh,186.6,BGD,2001
17,Barbados,4.28,BRB,2002
18,Belarus,75.25,BLR,2002
19,Belgium,527.8,BEL,2002
20,Belize,1.67,BLZ,2002
21,Benin,9.24,BEN,2002
22,Bermuda,5.2,BMU,2002
23,Bhutan,2.09,BTN,2002
24,Bolivia,34.08,BOL,2002
25,Bosnia and Herzegovina,19.55,BIH,2002
26,Botswana,16.3,BWA,2002
27,Brazil,2244,BRA,2002
28,British Virgin Islands,1.1,VGB,2002
29,Brunei,17.43,BRN,2002
30,Bulgaria,55.08,BGR,2002
31,Burkina Faso,13.38,BFA,2002
32,Burma,65.29,MMR,2002
33,Burundi,3.04,BDI,2002
34,Cabo Verde,1.98,CPV,2002
35,Cambodia,16.9,KHM,2002
36,Cameroon,32.16,CMR,2002
37,Canada,1794,CAN,2002
38,Cayman Islands,2.25,CYM,2002
39,Central African Republic,1.73,CAF,2002
40,Chad,15.84,TCD,2003
41,Chile,264.1,CHL,2004
42,China,10360,CHN,2004
43,Colombia,400.1,COL,2004
44,Comoros,0.72,COM,2004
45,"Congo, Democratic Republic of the",32.67,COD,2004
46,"Congo, Republic of the",14.11,COG,2004
47,Cook Islands,0.18,COK,2004
48,Costa Rica,50.46,CRI,2004
49,Cote d'Ivoire,33.96,CIV,2004
50,Croatia,57.18,HRV,2004
51,Cuba,77.15,CUB,2004
52,Curacao,5.6,CUW,2004
53,Cyprus,21.34,CYP,2004
54,Czech Republic,205.6,CZE,2004
55,Denmark,347.2,DNK,2004
56,Djibouti,1.58,DJI,2004
57,Dominica,0.51,DMA,2004
58,Dominican Republic,64.05,DOM,2004
59,Ecuador,100.5,ECU,2004
60,Egypt,284.9,EGY,2004
61,El Salvador,25.14,SLV,2005
62,Equatorial Guinea,15.4,GNQ,2006
63,Eritrea,3.87,ERI,2007
64,Estonia,26.36,EST,2007
65,Ethiopia,49.86,ETH,2007
66,Falkland Islands (Islas Malvinas),0.16,FLK,2007
67,Faroe Islands,2.32,FRO,2007
68,Fiji,4.17,FJI,2007
69,Finland,276.3,FIN,2007
70,France,2902,FRA,2007
71,French Polynesia,7.15,PYF,2007
72,Gabon,20.68,GAB,2007
73,"Gambia, The",0.92,GMB,2007
74,Georgia,16.13,GEO,2007
75,Germany,3820,DEU,2007
76,Ghana,35.48,GHA,2007
77,Gibraltar,1.85,GIB,2007
78,Greece,246.4,GRC,2007
79,Greenland,2.16,GRL,2007
80,Grenada,0.84,GRD,2007
81,Guam,4.6,GUM,2007
82,Guatemala,58.3,GTM,2007
83,Guernsey,2.74,GGY,2007
84,Guinea-Bissau,1.04,GNB,2007
85,Guinea,6.77,GIN,2007
86,Guyana,3.14,GUY,2007
87,Haiti,8.92,HTI,2007
88,Honduras,19.37,HND,2007
89,Hong Kong,292.7,HKG,2007
90,Hungary,129.7,HUN,2007
91,Iceland,16.2,ISL,2007
92,India,2048,IND,2007
93,Indonesia,856.1,IDN,2007
94,Iran,402.7,IRN,2007
95,Iraq,232.2,IRQ,2007
96,Ireland,245.8,IRL,2007
97,Isle of Man,4.08,IMN,2007
98,Israel,305,ISR,2007
99,Italy,2129,ITA,2007
100,Jamaica,13.92,JAM,2007
101,Japan,4770,JPN,2007
102,Jersey,5.77,JEY,2007
103,Jordan,36.55,JOR,2007
104,Kazakhstan,225.6,KAZ,2007
105,Kenya,62.72,KEN,2007
106,Kiribati,0.16,KIR,2007
107,"Korea, North",28,PRK,2007
108,"Korea, South",1410,KOR,2007
109,Kosovo,5.99,KSV,2007
110,Kuwait,179.3,KWT,2007
111,Kyrgyzstan,7.65,KGZ,2007
112,Laos,11.71,LAO,2007
113,Latvia,32.82,LVA,2007
114,Lebanon,47.5,LBN,2007
115,Lesotho,2.46,LSO,2007
116,Liberia,2.07,LBR,2007
117,Libya,49.34,LBY,2007
118,Liechtenstein,5.11,LIE,2007
119,Lithuania,48.72,LTU,2007
120,Luxembourg,63.93,LUX,2007
121,Macau,51.68,MAC,2007
122,Macedonia,10.92,MKD,2007
123,Madagascar,11.19,MDG,2007
124,Malawi,4.41,MWI,2007
125,Malaysia,336.9,MYS,2007
126,Maldives,2.41,MDV,2007
127,Mali,12.04,MLI,2007
128,Malta,10.57,MLT,2007
129,Marshall Islands,0.18,MHL,2007
130,Mauritania,4.29,MRT,2007
131,Mauritius,12.72,MUS,2007
132,Mexico,1296,MEX,2007
133,"Micronesia, Federated States of",0.34,FSM,2007
134,Moldova,7.74,MDA,2007
135,Monaco,6.06,MCO,2007
136,Mongolia,11.73,MNG,2007
137,Montenegro,4.66,MNE,2007
138,Morocco,112.6,MAR,2007
139,Mozambique,16.59,MOZ,2007
140,Namibia,13.11,NAM,2007
141,Nepal,19.64,NPL,2007
142,Netherlands,880.4,NLD,2007
143,New Caledonia,11.1,NCL,2007
144,New Zealand,201,NZL,2007
145,Nicaragua,11.85,NIC,2007
146,Nigeria,594.3,NGA,2007
147,Niger,8.29,NER,2007
148,Niue,0.01,NIU,2007
149,Northern Mariana Islands,1.23,MNP,2007
150,Norway,511.6,NOR,2007
151,Oman,80.54,OMN,2007
152,Pakistan,237.5,PAK,2007
153,Palau,0.65,PLW,2007
154,Panama,44.69,PAN,2007
155,Papua New Guinea,16.1,PNG,2007
156,Paraguay,31.3,PRY,2007
157,Peru,208.2,PER,2007
158,Philippines,284.6,PHL,2007
159,Poland,552.2,POL,2007
160,Portugal,228.2,PRT,2007
161,Puerto Rico,93.52,PRI,2007
162,Qatar,212,QAT,2007
163,Romania,199,ROU,2007
164,Russia,2057,RUS,2007
165,Rwanda,8,RWA,2007
166,Saint Kitts and Nevis,0.81,KNA,2007
167,Saint Lucia,1.35,LCA,2007
168,Saint Martin,0.56,MAF,2007
169,Saint Pierre and Miquelon,0.22,SPM,2007
170,Saint Vincent and the Grenadines,0.75,VCT,2007
171,Samoa,0.83,WSM,2007
172,San Marino,1.86,SMR,2007
173,Sao Tome and Principe,0.36,STP,2007
174,Saudi Arabia,777.9,SAU,2007
175,Senegal,15.88,SEN,2007
176,Serbia,42.65,SRB,2007
177,Seychelles,1.47,SYC,2007
178,Sierra Leone,5.41,SLE,2007
179,Singapore,307.9,SGP,2007
180,Sint Maarten,304.1,SXM,2007
181,Slovakia,99.75,SVK,2007
182,Slovenia,49.93,SVN,2007
183,Solomon Islands,1.16,SLB,2007
184,Somalia,2.37,SOM,2007
185,South Africa,341.2,ZAF,2007
186,South Sudan,11.89,SSD,2007
187,Spain,1400,ESP,2007
188,Sri Lanka,71.57,LKA,2007
189,Sudan,70.03,SDN,2007
190,Suriname,5.27,SUR,2007
191,Swaziland,3.84,SWZ,2007
192,Sweden,559.1,SWE,2007
193,Switzerland,679,CHE,2007
194,Syria,64.7,SYR,2007
195,Taiwan,529.5,TWN,2007
196,Tajikistan,9.16,TJK,2007
197,Tanzania,36.62,TZA,2007
198,Thailand,373.8,THA,2007
199,Timor-Leste,4.51,TLS,2007
200,Togo,4.84,TGO,2007
201,Tonga,0.49,TON,2007
202,Trinidad and Tobago,29.63,TTO,2007
203,Tunisia,49.12,TUN,2007
204,Turkey,813.3,TUR,2007
205,Turkmenistan,43.5,TKM,2007
206,Tuvalu,0.04,TUV,2007
207,Uganda,26.09,UGA,2007
208,Ukraine,134.9,UKR,2007
209,United Arab Emirates,416.4,ARE,2007
210,United Kingdom,2848,GBR,2007
211,United States,17420,USA,2007
212,Uruguay,55.6,URY,2007
213,Uzbekistan,63.08,UZB,2007
214,Vanuatu,0.82,VUT,2007
215,Venezuela,209.2,VEN,2007
216,Vietnam,187.8,VNM,2007
217,Virgin Islands,5.08,VGB,2007
218,West Bank,6.64,WBG,2007
219,Yemen,45.45,YEM,2007
220,Zambia,25.61,ZMB,2007
221,Zimbabwe,13.74,ZWE,2007
